data,hora,status,mensagem
 2025-11-27, 17:39:47,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 21:15:01,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:11,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:13,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:14,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:14,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:15,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:16,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:40,Registro,"80 criadas, última edição: 7045"
 2025-11-27, 23:00:34,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:03:49,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:03:55,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:05:03,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:07:21,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:09:13,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:11:17,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:39:21,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:39:39,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:40:22,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:41:27,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:41:30,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:41:39,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:41:52,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:42:27,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:42:39,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:42:50,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:42:57,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:43:23,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:43:51,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:44:25,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:45:11,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:45:20,Registro,"60 criadas, última edição: 7025"
