data,hora,status,mensagem
 2026-01-06, 17:18:54,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-06, 17:18:57,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-06, 17:19:00,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-06, 17:19:02,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-06, 17:19:05,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-08, 17:33:21,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-08, 17:33:53,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-08, 17:34:38,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-08, 17:53:27,ERRO,Erro ao criar pasta: time.sleep() takes exactly one argument (0 given)
 2026-01-09, 15:18:36,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-09, 15:28:55,sucesso,Pasta 7014 - Segunda-feira criada
 2026-01-13, 16:32:41,sucesso,Pasta 7021 - Segunda-feira criada
 2026-01-13, 16:40:30,sucesso,Pasta 7022 - Terça-feira criada
 2026-01-13, 16:46:55,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-13, 16:46:57,ERRO,"Erro ao criar pasta: PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2026-01-13, 16:47:53,sucesso,Pasta 7025 - Sexta-feira criada
 2026-01-15, 22:17:45,sucesso,Pasta 7021 - Segunda-feira criada
 2026-01-15, 22:25:36,sucesso,Pasta 7022 - Terça-feira criada
 2026-01-15, 22:33:28,sucesso,Pasta 7023 - Quarta-feira criada
 2026-01-15, 22:41:20,sucesso,Pasta 7024 - Quinta-feira criada
 2026-01-15, 22:49:10,sucesso,Pasta 7025 - Sexta-feira criada
 2026-01-15, 22:57:01,sucesso,Pasta 7026-7 - Fim de semana criada
 2026-01-17, 00:29:15,sucesso,Pasta 7028 - Segunda-feira criada
 2026-01-17, 00:37:06,sucesso,Pasta 7029 - Terça-feira criada
 2026-01-17, 00:44:57,sucesso,Pasta 7030 - Quarta-feira criada
 2026-01-17, 00:52:48,sucesso,Pasta 7031 - Quinta-feira criada
 2026-01-17, 01:00:39,sucesso,Pasta 7032 - Sexta-feira criada
 2026-01-17, 01:08:30,sucesso,Pasta 7033-4 - Fim de semana criada
 2026-01-17, 01:16:22,sucesso,Pasta 7035 - Segunda-feira criada
 2026-01-17, 01:24:13,sucesso,Pasta 7036 - Terça-feira criada
 2026-01-17, 01:32:04,sucesso,Pasta 7037 - Quarta-feira criada
 2026-01-17, 01:39:55,sucesso,Pasta 7038 - Quinta-feira criada
 2026-01-17, 01:47:46,sucesso,Pasta 7039 - Sexta-feira criada
 2026-01-17, 01:55:37,sucesso,Pasta 7040-1 - Fim de semana criada
 2026-01-17, 02:03:28,sucesso,Pasta 7042 - Segunda-feira criada
 2026-01-17, 02:11:19,sucesso,Pasta 7043 - Terça-feira criada
 2026-01-17, 02:19:10,sucesso,Pasta 7044 - Quarta-feira criada
 2026-01-17, 02:27:02,sucesso,Pasta 7045 - Quinta-feira criada
 2026-01-17, 02:34:53,sucesso,Pasta 7046 - Sexta-feira criada
 2026-01-17, 02:42:44,sucesso,Pasta 7047-8 - Fim de semana criada
 2026-01-17, 02:50:36,sucesso,Pasta 7049 - Segunda-feira criada
 2026-01-17, 02:58:27,sucesso,Pasta 7050 - Terça-feira criada
 2026-01-17, 03:06:18,sucesso,Pasta 7051 - Quarta-feira criada
 2026-01-17, 03:14:09,sucesso,Pasta 7052 - Quinta-feira criada
 2026-01-17, 03:22:01,sucesso,Pasta 7053 - Sexta-feira criada
 2026-01-17, 03:29:52,sucesso,Pasta 7054-5 - Fim de semana criada
 2026-01-17, 03:37:44,sucesso,Pasta 7056 - Segunda-feira criada
 2026-01-17, 03:45:35,sucesso,Pasta 7057 - Terça-feira criada
 2026-01-17, 03:53:27,sucesso,Pasta 7058 - Quarta-feira criada
 2026-01-17, 04:01:18,sucesso,Pasta 7059 - Quinta-feira criada
 2026-01-17, 04:09:10,sucesso,Pasta 7060 - Sexta-feira criada
 2026-01-17, 04:17:01,sucesso,Pasta 7061-2 - Fim de semana criada
 2026-01-17, 04:24:53,sucesso,Pasta 7063 - Segunda-feira criada
 2026-01-17, 04:32:45,sucesso,Pasta 7064 - Terça-feira criada
 2026-01-17, 04:40:36,sucesso,Pasta 7065 - Quarta-feira criada
 2026-01-17, 04:48:28,sucesso,Pasta 7066 - Quinta-feira criada
 2026-01-17, 04:56:19,sucesso,Pasta 7067 - Sexta-feira criada
