data,hora,status,mensagem
 2025-11-19, 15:27:50,8.001,8001 - Segunda-feira
 2025-11-19, 15:27:50,8.002,8002 - Terça-feira
 2025-11-19, 15:27:50,8.003,8003 - Quarta-feira
 2025-11-19, 15:27:50,8.004,8004 - Quinta-feira
 2025-11-19, 15:27:50,8.005,8005 - Sexta-feira
 2025-11-19, 15:27:50,8.006-7,8006-7 - Fim de semana
 2025-11-21, 18:06:13,erro,"Modelos da edição 8.001, Segunda-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:06:13,erro,"Modelos da edição 8.002, Terça-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:06:13,erro,"Modelos da edição 8.003, Quarta-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:06:13,erro,"Modelos da edição 8.004, Quinta-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:06:13,erro,"Modelos da edição 8.005, Sexta-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:06:13,erro,"Modelos da edição 8.006-7, Fim de semana não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:07:12,erro,"Modelos da edição 8.001, Segunda-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:07:12,erro,"Modelos da edição 8.002, Terça-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:07:12,erro,"Modelos da edição 8.003, Quarta-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:07:12,erro,"Modelos da edição 8.004, Quinta-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:07:12,erro,"Modelos da edição 8.005, Sexta-feira não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:07:12,erro,"Modelos da edição 8.006-7, Fim de semana não criado. PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
 2025-11-21, 18:15:09,erro,"Modelos da edição 8.001, Segunda-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-21, 18:15:09,erro,"Modelos da edição 8.002, Terça-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-21, 18:15:10,erro,"Modelos da edição 8.003, Quarta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-21, 18:15:11,erro,"Modelos da edição 8.004, Quinta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-21, 18:15:12,erro,"Modelos da edição 8.005, Sexta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-21, 18:15:12,erro,"Modelos da edição 8.006-7, Fim de semana não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:24,erro,"Modelos da edição 8.001, Segunda-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:25,erro,"Modelos da edição 8.002, Terça-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:26,erro,"Modelos da edição 8.003, Quarta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:27,erro,"Modelos da edição 8.004, Quinta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:27,erro,"Modelos da edição 8.005, Sexta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:28,erro,"Modelos da edição 8.006-7, Fim de semana não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:56,erro,"Modelos da edição 8.001, Segunda-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:56,erro,"Modelos da edição 8.002, Terça-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:57,erro,"Modelos da edição 8.003, Quarta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:58,erro,"Modelos da edição 8.004, Quinta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:09:59,erro,"Modelos da edição 8.005, Sexta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:00,erro,"Modelos da edição 8.006-7, Fim de semana não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:14,erro,"Modelos da edição 8.001, Segunda-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:15,erro,"Modelos da edição 8.002, Terça-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:16,erro,"Modelos da edição 8.003, Quarta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:17,erro,"Modelos da edição 8.004, Quinta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:18,erro,"Modelos da edição 8.005, Sexta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:18,erro,"Modelos da edição 8.006-7, Fim de semana não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:56,erro,"Modelos da edição 8.001, Segunda-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:57,erro,"Modelos da edição 8.002, Terça-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:58,erro,"Modelos da edição 8.003, Quarta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
 2025-11-24, 17:10:59,erro,"Modelos da edição 8.004, Quinta-feira não criado. module 'Global.utils' has no attribute 'ir_para'"
