data,hora,status,mensagem
 2025-11-27, 17:36:52,log,"60 criadas, última edição: 7025"
 2025-11-27, 17:38:01,log,"60 criadas, última edição: 7025"
 2025-11-27, 17:38:41,log,"60 criadas, última edição: 7025"
 2025-11-27, 17:39:47,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 21:15:01,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:11,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:13,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:14,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:14,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:15,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:16,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 22:17:40,Registro,"80 criadas, última edição: 7045"
 2025-11-27, 23:00:34,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:03:49,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:03:55,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:05:03,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:07:21,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:09:13,Registro,"60 criadas, última edição: 7025"
 2025-11-27, 23:11:17,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:39:21,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:39:39,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:40:22,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:41:27,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:41:30,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:41:39,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:41:52,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:42:27,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:42:39,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:42:50,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:42:57,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:43:23,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:43:51,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:44:25,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:45:11,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:45:20,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:45:35,Registro,"60 criadas, última edição: 7025"
 2025-11-28, 16:50:15,Registro,"60 criadas, última edição: 8061"
 2025-11-28, 16:50:32,Registro,"60 criadas, última edição: 8061"
 2025-11-28, 16:50:52,Registro,"60 criadas, última edição: 8061"
 2025-11-28, 16:51:55,Registro,"60 criadas, última edição: 8061"
 2025-11-28, 16:53:13,Registro,"60 criadas, última edição: 8061"
 2025-11-28, 16:53:18,Registro,"60 criadas, última edição: 8061"
 2025-11-28, 16:55:02,Registro,"60 criadas, última edição: 8061"
 2025-11-28, 17:02:41,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:31:06,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:31:25,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:33:56,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:34:04,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:34:22,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:34:37,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:34:46,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:48:07,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:48:57,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:49:36,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:49:39,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:49:50,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:50:22,Registro,"6 criadas, última edição: 8007"
 2025-11-28, 17:51:31,Registro,"6 criadas, última edição: 8007"
 2025-12-03, 22:40:19,Registro,"6 criadas, última edição: 8007"
 2025-12-03, 22:43:45,Registro,"6 criadas, última edição: 8007"
 2025-12-04, 23:02:04,Registro,"6 criadas, última edição: 8007"
 2025-12-04, 23:04:08,Registro,"6 criadas, última edição: 8007"
 2025-12-04, 23:06:09,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:39:38,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:40:10,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:41:02,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:42:21,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:43:16,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:44:17,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:46:00,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:47:36,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:47:53,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:48:23,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:48:58,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:50:11,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:50:32,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:50:52,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:52:12,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:54:04,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:57:49,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:57:54,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:58:01,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:58:24,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 20:59:53,Registro,"6 criadas, última edição: 8007"
 2025-12-07, 21:01:08,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 18:25:04,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 18:58:52,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:37:43,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:38:55,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:40:25,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:40:47,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:41:37,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:41:59,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:43:53,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:46:09,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:46:40,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:54:23,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:58:13,Registro,"6 criadas, última edição: 8007"
 2025-12-15, 21:58:33,Registro,"6 criadas, última edição: 8007"
 2025-12-17, 21:47:02,Registro,"6 criadas, última edição: 8007"
 2025-12-17, 21:48:30,Registro,"6 criadas, última edição: 8007"
 2025-12-17, 21:57:15,Registro,"6 criadas, última edição: 8007"
 2025-12-17, 22:01:15,Registro,"6 criadas, última edição: 8007"
 2025-12-17, 22:06:15,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:09:40,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:11:50,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:11:56,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:12:05,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:12:28,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:12:46,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:12:59,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:16:16,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:18:57,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:27:07,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:27:42,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:27:59,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:29:03,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:29:17,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:30:41,Registro,"6 criadas, última edição: 8007"
 2025-12-22, 22:30:50,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:20:11,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:22:42,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:25:13,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:25:26,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:25:54,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:34:44,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:34:51,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:34:55,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:35:25,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:35:35,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:36:17,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:36:27,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:36:33,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:36:47,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:36:54,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:37:33,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:37:58,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:40:10,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:42:01,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:42:27,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:43:20,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:45:32,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:48:12,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:48:32,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:48:59,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:49:36,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:52:46,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:55:30,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:56:01,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 20:57:15,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 21:04:37,Registro,"6 criadas, última edição: 8007"
 2025-12-30, 21:20:40,Registro,"6 criadas, última edição: 8007"
 2026-01-01, 18:33:05,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 15:52:35,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:05:13,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:05:47,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:06:04,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:07:13,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:07:51,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:08:19,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:12:18,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:12:29,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:12:36,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:12:47,Registro,"6 criadas, última edição: 8007"
 2026-01-05, 16:14:41,Registro,"6 criadas, última edição: 6992"
