data,hora,status,origem,função,message
2026-03-20,17:17:18,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: javascript error: arguments[0].scrollIntoView is not a function
  (Session info: chrome=146.0.7680.81)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff655be3045+14585]
	chromedriver!GetHandleVerifier [0x7ff655be30b0+145f0]
	chromedriver!(No symbol) [0x7ff65594db7d]
	chromedriver!(No symbol) [0x7ff655955af1]
	chromedriver!(No symbol) [0x7ff655958faf]
	chromedriver!(No symbol) [0x7ff6559f59b1]
	chromedriver!(No symbol) [0x7ff6559d069a]
	chromedriver!(No symbol) [0x7ff6559f45af]
	chromedriver!(No symbol) [0x7ff655999a18]
	chromedriver!(No symbol) [0x7ff65599a8f3]
	chromedriver!GetHandleVerifier [0x7ff655eeac5d+31c19d]
	chromedriver!GetHandleVerifier [0x7ff655ee536d+3168ad]
	chromedriver!GetHandleVerifier [0x7ff655f07d8a+3392ca]
	chromedriver!GetHandleVerifier [0x7ff655bff445+30985]
	chromedriver!GetHandleVerifier [0x7ff655c084dc+39a1c]
	chromedriver!GetHandleVerifier [0x7ff655bec634+1db74]
	chromedriver!GetHandleVerifier [0x7ff655bec7e6+1dd26]
	chromedriver!GetHandleVerifier [0x7ff655bd1387+28c7]
	KERNEL32!BaseThreadInitThunk [0x7ff9b61be8d7+17]
	ntdll!RtlUserThreadStart [0x7ff9b646c48c+2c]
"
2026-03-20,17:17:18,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: javascript error: arguments[0].scrollIntoView is not a function
  (Session info: chrome=146.0.7680.81)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff655be3045+14585]
	chromedriver!GetHandleVerifier [0x7ff655be30b0+145f0]
	chromedriver!(No symbol) [0x7ff65594db7d]
	chromedriver!(No symbol) [0x7ff655955af1]
	chromedriver!(No symbol) [0x7ff655958faf]
	chromedriver!(No symbol) [0x7ff6559f59b1]
	chromedriver!(No symbol) [0x7ff6559d069a]
	chromedriver!(No symbol) [0x7ff6559f45af]
	chromedriver!(No symbol) [0x7ff655999a18]
	chromedriver!(No symbol) [0x7ff65599a8f3]
	chromedriver!GetHandleVerifier [0x7ff655eeac5d+31c19d]
	chromedriver!GetHandleVerifier [0x7ff655ee536d+3168ad]
	chromedriver!GetHandleVerifier [0x7ff655f07d8a+3392ca]
	chromedriver!GetHandleVerifier [0x7ff655bff445+30985]
	chromedriver!GetHandleVerifier [0x7ff655c084dc+39a1c]
	chromedriver!GetHandleVerifier [0x7ff655bec634+1db74]
	chromedriver!GetHandleVerifier [0x7ff655bec7e6+1dd26]
	chromedriver!GetHandleVerifier [0x7ff655bd1387+28c7]
	KERNEL32!BaseThreadInitThunk [0x7ff9b61be8d7+17]
	ntdll!RtlUserThreadStart [0x7ff9b646c48c+2c]
"
2026-03-20,17:17:18,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: javascript error: arguments[0].scrollIntoView is not a function
  (Session info: chrome=146.0.7680.81)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff655be3045+14585]
	chromedriver!GetHandleVerifier [0x7ff655be30b0+145f0]
	chromedriver!(No symbol) [0x7ff65594db7d]
	chromedriver!(No symbol) [0x7ff655955af1]
	chromedriver!(No symbol) [0x7ff655958faf]
	chromedriver!(No symbol) [0x7ff6559f59b1]
	chromedriver!(No symbol) [0x7ff6559d069a]
	chromedriver!(No symbol) [0x7ff6559f45af]
	chromedriver!(No symbol) [0x7ff655999a18]
	chromedriver!(No symbol) [0x7ff65599a8f3]
	chromedriver!GetHandleVerifier [0x7ff655eeac5d+31c19d]
	chromedriver!GetHandleVerifier [0x7ff655ee536d+3168ad]
	chromedriver!GetHandleVerifier [0x7ff655f07d8a+3392ca]
	chromedriver!GetHandleVerifier [0x7ff655bff445+30985]
	chromedriver!GetHandleVerifier [0x7ff655c084dc+39a1c]
	chromedriver!GetHandleVerifier [0x7ff655bec634+1db74]
	chromedriver!GetHandleVerifier [0x7ff655bec7e6+1dd26]
	chromedriver!GetHandleVerifier [0x7ff655bd1387+28c7]
	KERNEL32!BaseThreadInitThunk [0x7ff9b61be8d7+17]
	ntdll!RtlUserThreadStart [0x7ff9b646c48c+2c]
"
2026-03-20,17:17:22,RELATÓRIO,print_ad.py,print_task,Drive fechado após execução da tarefa
2026-03-20,17:20:54,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: Compound class names are not allowed.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidselectorexception
"
2026-03-20,17:20:54,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: Compound class names are not allowed.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidselectorexception
"
2026-03-20,17:20:54,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: Compound class names are not allowed.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidselectorexception
"
2026-03-20,17:20:58,RELATÓRIO,print_ad.py,print_task,Drive fechado após execução da tarefa
2026-03-20,17:23:11,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: Compound class names are not allowed.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidselectorexception
"
2026-03-20,17:23:13,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: Compound class names are not allowed.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidselectorexception
"
2026-03-20,17:23:15,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: Compound class names are not allowed.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidselectorexception
"
2026-03-20,17:23:19,RELATÓRIO,print_ad.py,print_task,Drive fechado após execução da tarefa
2026-03-20,17:32:30,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff655be3045+14585]
	chromedriver!GetHandleVerifier [0x7ff655be30b0+145f0]
	chromedriver!(No symbol) [0x7ff65594db7d]
	chromedriver!(No symbol) [0x7ff6559a73ae]
	chromedriver!(No symbol) [0x7ff6559a76bc]
	chromedriver!(No symbol) [0x7ff6559f7a57]
	chromedriver!(No symbol) [0x7ff6559f45af]
	chromedriver!(No symbol) [0x7ff655999a18]
	chromedriver!(No symbol) [0x7ff65599a8f3]
	chromedriver!GetHandleVerifier [0x7ff655eeac5d+31c19d]
	chromedriver!GetHandleVerifier [0x7ff655ee536d+3168ad]
	chromedriver!GetHandleVerifier [0x7ff655f07d8a+3392ca]
	chromedriver!GetHandleVerifier [0x7ff655bff445+30985]
	chromedriver!GetHandleVerifier [0x7ff655c084dc+39a1c]
	chromedriver!GetHandleVerifier [0x7ff655bec634+1db74]
	chromedriver!GetHandleVerifier [0x7ff655bec7e6+1dd26]
	chromedriver!GetHandleVerifier [0x7ff655bd1387+28c7]
	KERNEL32!BaseThreadInitThunk [0x7ff9b61be8d7+17]
	ntdll!RtlUserThreadStart [0x7ff9b646c48c+2c]
"
2026-03-20,17:32:45,ERRO,print_ad.py,button_print,"Falha ao salvar imagem: Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff655be3045+14585]
	chromedriver!GetHandleVerifier [0x7ff655be30b0+145f0]
	chromedriver!(No symbol) [0x7ff65594db7d]
	chromedriver!(No symbol) [0x7ff6559a73ae]
	chromedriver!(No symbol) [0x7ff6559a76bc]
	chromedriver!(No symbol) [0x7ff6559f7a57]
	chromedriver!(No symbol) [0x7ff6559f45af]
	chromedriver!(No symbol) [0x7ff655999a18]
	chromedriver!(No symbol) [0x7ff65599a8f3]
	chromedriver!GetHandleVerifier [0x7ff655eeac5d+31c19d]
	chromedriver!GetHandleVerifier [0x7ff655ee536d+3168ad]
	chromedriver!GetHandleVerifier [0x7ff655f07d8a+3392ca]
	chromedriver!GetHandleVerifier [0x7ff655bff445+30985]
	chromedriver!GetHandleVerifier [0x7ff655c084dc+39a1c]
	chromedriver!GetHandleVerifier [0x7ff655bec634+1db74]
	chromedriver!GetHandleVerifier [0x7ff655bec7e6+1dd26]
	chromedriver!GetHandleVerifier [0x7ff655bd1387+28c7]
	KERNEL32!BaseThreadInitThunk [0x7ff9b61be8d7+17]
	ntdll!RtlUserThreadStart [0x7ff9b646c48c+2c]
"
